epoch | loss | sim_loss | var_loss | cov_loss | feat_std | feat_norm | val_loss | val_sim_loss | val_var_loss | val_cov_loss | val_feat_std | val_feat_norm
67 | 96.4501 | 0.9018 | 1.6474 | 48.9635 | 0.6407 | 14.8833 | 143.8845 | 0.7142 | 2.2048 | 119.7675 | 0.2517 | 15.1101
68 | 96.4408 | 0.9019 | 1.6473 | 48.9527 | 0.6408 | 14.8842 | 143.6160 | 0.7112 | 2.2050 | 119.3722 | 0.2515 | 15.0815
69 | 96.4437 | 0.9019 | 1.6473 | 48.9536 | 0.6408 | 14.8840 | 143.6940 | 0.7160 | 2.2048 | 119.3043 | 0.2516 | 15.1818
70 | 96.4394 | 0.9019 | 1.6472 | 48.9503 | 0.6408 | 14.8846 | 143.6409 | 0.7136 | 2.2051 | 119.2998 | 0.2514 | 15.1268
71 | 96.4454 | 0.9018 | 1.6474 | 48.9574 | 0.6408 | 14.8829 | 143.6679 | 0.7124 | 2.2048 | 119.4262 | 0.2517 | 15.0853
72 | 96.4424 | 0.9019 | 1.6473 | 48.9530 | 0.6408 | 14.8823 | 143.7680 | 0.7120 | 2.2056 | 119.5999 | 0.2510 | 15.1175
73 | 96.4456 | 0.9019 | 1.6473 | 48.9581 | 0.6408 | 14.8833 | 143.7846 | 0.7141 | 2.2057 | 119.5244 | 0.2510 | 15.1277
74 | 96.4431 | 0.9018 | 1.6473 | 48.9534 | 0.6407 | 14.8832 | 143.8038 | 0.7141 | 2.2054 | 119.5774 | 0.2513 | 15.1391
75 | 96.4422 | 0.9019 | 1.6473 | 48.9523 | 0.6408 | 14.8835 | 143.7142 | 0.7145 | 2.2059 | 119.3488 | 0.2505 | 15.1145
76 | 96.4449 | 0.9018 | 1.6474 | 48.9579 | 0.6408 | 14.8830 | 143.8140 | 0.7146 | 2.2057 | 119.5566 | 0.2507 | 15.1178
77 | 96.4441 | 0.9019 | 1.6473 | 48.9566 | 0.6408 | 14.8843 | 143.7219 | 0.7110 | 2.2053 | 119.5774 | 0.2512 | 15.0704
78 | 96.4455 | 0.9018 | 1.6473 | 48.9612 | 0.6408 | 14.8836 | 143.8914 | 0.7131 | 2.2060 | 119.7699 | 0.2506 | 15.1229
79 | 96.4457 | 0.9019 | 1.6473 | 48.9611 | 0.6408 | 14.8831 | 143.8317 | 0.7118 | 2.2063 | 119.6933 | 0.2502 | 15.0928
80 | 96.4418 | 0.9019 | 1.6473 | 48.9509 | 0.6408 | 14.8840 | 143.7153 | 0.7112 | 2.2057 | 119.5257 | 0.2508 | 15.0641
